id,level,grammar_point,connection,meaning,examples
1,N4+N3,【名】は【名】です ～是～,,,[]
2,N4+N3,【名】は【名】では　ありません　～不是～,,,[]
3,N4+N3,【名】は【名】じゃ　ありません ～不是～,,,[]
4,N4+N3,【名】は【名】ですか ～是～ ？吗,,,"[{""jp"": ""肯定回答：はい、～です"", ""cn"": """"}, {""jp"": ""否定回答：いいえ、～では　ありません"", ""cn"": """"}]"
5,N4+N3,【名】の【名】前面的名 是后面名 从属的机构、国家或属性 词 词,,,[]
6,N4+N3,～さん 在听 人或第三者的后面加上さん，表示敬意 话,,,[]
7,N4+N3,【名】も【名】です　～也～,,,[]
8,N4+N3,これ/それ/あれ は【名】です,,， 个，那，那个是～ 这 这,[]
9,N4+N3,～だれ（どなた）ですか　～是 ？谁,,,[]
10,N4+N3,～なんですか　～是什 ？么,,,[]
11,N4+N3,【名】の【名】表示所属,,,"[{""jp"": ""わたしのくるま　我的车"", ""cn"": """"}]"
12,N4+N3,この/その/あの【名】は【名】です ， 个，那，那个～是～ 这 这,,,[]
13,N4+N3,そうです/そうじゃありません,,,"[{""jp"": ""はい　そうです"", ""cn"": """"}, {""jp"": ""いいえ　そうじゃ　ありません/いいえ　ちがいます"", ""cn"": """"}]"
14,N4+N3,【句子】ですか、　【句子】ですか,,疑 句 选择 问,"[{""jp"": ""これは　９ですか、７ですか"", ""cn"": """"}]"
15,N4+N3,そうですか　知道了,,,[]
16,N4+N3,～どれですか　～是哪～？,,,[]
17,N4+N3,ここ/そこ/あそこ/こちら/そちら/あちら　は　【名】です,,里，那里，那儿是～ 这,[]
18,N4+N3,【名】は【表示 所名 】です 场 词 表示存在什么场所,,,"[{""jp"": ""トイレ　は　ここです厕所在这儿"", ""cn"": """"}]"
19,N4+N3,【名】は　どこ（どちら）ですか　～在哪儿？,,也可以用,"[{""jp"": ""トイレ　は　どこですか厕所在哪儿？"", ""cn"": """"}, {""jp"": ""～は　どこに　ありますか/いますか"", ""cn"": """"}, {""jp"": ""【名】は　いくらですか ～多少 ？"", ""cn"": """"}]"
20,N4+N3,【名 1】の【名 2】表示那个国家或公司 的产,,,[]
21,N4+N3,数字,,100 以下的数字,"[{""jp"": ""0 れい/ぜろ 10 じゅう 　　20　にじゅう"", ""cn"": """"}, {""jp"": ""1 いち 11 じゅういち 　　30　さんじゅう"", ""cn"": """"}, {""jp"": ""2 に 12 じゅうに 　　　40 よんじゅう"", ""cn"": """"}, {""jp"": ""3 さん 13 じゅうさん 50　ごじゅう"", ""cn"": """"}, {""jp"": ""4 し/よん 14 じゅうし/じゅうよん 60　ろくじゅう"", ""cn"": """"}, {""jp"": ""5 ご 15 じゅうご 70　ななじゅう"", ""cn"": """"}, {""jp"": ""6 ろく 16 じゅうろく 80　はちじゅう"", ""cn"": """"}, {""jp"": ""7 しち/なな 17 じゅうなな 90　きゅうじゅう"", ""cn"": """"}, {""jp"": ""8 はち 18 じゅうはち 100　ひゃく"", ""cn"": """"}, {""jp"": ""9 く/きゅう 19 じゅうく/じゅうきゅう"", ""cn"": """"}, {""jp"": ""0.1　れいてんいち 2/3 さんぶんのに"", ""cn"": """"}, {""jp"": ""100　ひゃく"", ""cn"": """"}, {""jp"": ""1,000 せん"", ""cn"": """"}, {""jp"": ""10,000　いちまん"", ""cn"": """"}, {""jp"": ""100,000　じゅうまん"", ""cn"": """"}, {""jp"": ""1,000,000 ひゃくまん"", ""cn"": """"}, {""jp"": ""10,000,000　いちせんまん"", ""cn"": """"}, {""jp"": ""100,000,000　いちおく"", ""cn"": """"}, {""jp"": ""300 さんびゃく"", ""cn"": """"}, {""jp"": ""600 ろっびゃく"", ""cn"": """"}, {""jp"": ""800 はっびゃく"", ""cn"": """"}, {""jp"": ""3,000 さんぜん"", ""cn"": """"}, {""jp"": ""8,000 はっせん"", ""cn"": """"}, {""jp"": ""9002 じゅうせんに"", ""cn"": """"}, {""jp"": ""9020　じゅせんにじゅう"", ""cn"": """"}, {""jp"": ""9200 じゅせんにひゃく"", ""cn"": """"}]"
