level,word,pitch_accent,pos,reading,meaning
 1-N4+N5,高校,⓪,名,こうこう,高中
 3-N2::2-中低频,丸,⓪,名,まる,圆，圆形；句号
 1-N4+N5,間,①,名,かん,间，期间
 4-N1::2-中频,昭和,⓪①,名,しょうわ,（日本年号）昭和
 4-N1::2-中频,明治,①,名,めいじ,（日本年号）明治
 3-N2::2-中低频,党,①,名,とう,党羽，同伙；政党
 3-N2::1-高频,理系,⓪,名,りけい,理科
 3-N2::1-高频,貝,①,名,かい,贝；贝壳
 4-N1::1-高频,班,①,名・造,はん,组
 3-N2::1-高频,甘み,⓪③,名,あまみ,甜味
 4-N1::3-低频,高名,⓪①,名,こうめい,著名，有名；大名
 3-N2::2-中低频,大盛り,⓪,名,おおもり,盛得很满；盛大碗
 4-N1::3-低频,うやむや,⓪,ナ形,うやむや,含糊，暧昧
 2-N3::2-中低频,換気扇,⓪,名,かんきせん,换气扇；抽油烟机
 4-N1::3-低频,一握り,②③,名,ひとにぎり,一把，少量，一小撮；轻易捏碎，轻松击败
 4-N1::3-低频,頻発,⓪,名・自動3,ひんぱつ,频发，屡次发生
 4-N1::3-低频,悪循環,③,名,あくじゅんかん,恶性循环
 1-N4+N5,〜やすい,,接尾,〜やすい,简单的，容易……的
 1-N4+N5,〜か月,,接尾,〜かげつ,……个月
 2-N3::2-中低频,キログラム,③,名,kilogram；(フ) kilogramme,千克，公斤
 2-N3::2-中低频,キロメートル,③,名,(フ) kilomètre,……千米，……公里
 1-N4+N5,グラム,①⓪,名,gram；(法) gramme,克
 1-N4+N5,〜さん,,接尾,〜さん,（表达敬意或亲近感）……先生，……女士
 1-N4+N5,〜過ぎ,,接尾,〜すぎ,超过……；过分……，过度……
 1-N4+N5,〜ちゃん,,接尾,〜ちゃん,小……
 1-N4+N5,〜にくい,,接尾,〜にくい,难……
 1-N4+N5,〜回,,名,〜かい,……回，次
 1-N4+N5,〜階,①,接尾,〜かい,……层，……楼
 1-N4+N5,〜君,,接尾,〜くん,（用于同辈或下级男性姓名后）小……
 1-N4+N5,〜個,,接尾,〜こ,（用于数小而圆的物体）……个
 1-N4+N5,〜頃,,名,〜ごろ,大概……，……左右；时期
 1-N4+N5,〜冊,,接尾,〜さつ,（用来数笔记本，书本等）……册，……本
 1-N4+N5,時,,造,じ,……点（钟）；……时候
 1-N4+N5,〜人,,接尾,〜にん,（量词）……个人；（那个人所固有的性格、能力和经历）……人
 1-N4+N5,台,①,名・接尾・造,だい,（家具、汽车、机器等）……台，……辆；台子
 1-N4+N5,〜達,,接尾,〜たち,（人的复数）……们
 1-N4+N5,〜中,,接尾,〜じゅう,（附在表示年月、时间、地点的词语后）整整……，整个……
 1-N4+N5,中,①⓪,名・接尾,ちゅう,正在……；中间，中
 1-N4+N5,度,⓪,名,ど,程度；……次；（角度，经纬度，温度等）……度
 2-N3::2-中低频,〜ら,,接尾,〜ら,……们，……等
 1-N4+N5,日,,造,にち,……号；……天；日本；星期日
 1-N4+N5,〜杯,,接尾,〜はい,……杯；计算船、章鱼、乌贼等的量词
 1-N4+N5,〜番,,接尾,〜ばん,（表达顺序或序号）……号
 1-N4+N5,〜番目,,接尾・名,〜ばんめ,第……号，第……个
 1-N4+N5,〜匹,,接尾,〜ひき,（猫、狗、鸟、鱼、虫等小动物）……只，……条
 1-N4+N5,分,,名,ふん,……分钟
 1-N4+N5,〜本,,接尾,〜ほん,（细长物的）……支，把，瓶
 1-N4+N5,〜枚,,接尾,〜まい,（纸、板、货币、盘子等薄而扁平的东西）……张，……枚
 2-N3::2-中低频,〜末,,接尾,〜まつ,……末，……尾
 1-N4+N5,〜様,,接尾,〜さま,（表达敬意）……先生，……女士
 1-N4+N5,あ,①,感,あ,（吃惊、感动）啊，呀；（打招呼）喂
 1-N4+N5,ああ,①,感,ああ,（悲伤、快乐或惊讶时）啊，哎呀；（答应时）啊
 1-N4+N5,アイスクリーム,⑤,名,ice cream,冰激凌
 1-N4+N5,あさって,②,名,あさって,后天
 1-N4+N5,あそこ,⓪,代,あそこ,（指代远处）那里；（指代自己和对方都知道的地方）那里
 2-N3::2-中低频,あたし,⓪,代,あたし,（女性用语）我
 1-N4+N5,あちら,⓪,代,あちら,（远处）那边；那个人，那位
 1-N4+N5,あっち,③,代,あっち,那边；那个人
 1-N4+N5,あなた,②,代,あなた,你
 1-N4+N5,あの,⓪,連体,あの,（指代远处事物）那个；（指代自己和对方都知道的事物）那个
 1-N4+N5,あのう,⓪,感,あのう,（带着顾虑和犹豫的心情呼唤对方）不好意思，那个……
 1-N4+N5,アパート,②,名,apartment house,公寓
 1-N4+N5,あまり,⓪,ナ形・副・名,あまり,（后接否定）不太，不很；（后接肯定）太，过分
 1-N4+N5,飴[あめ],⓪,名,あめ,糖果
 2-N3::2-中低频,アメリカ,⓪,名,America,美洲；美国
 1-N4+N5,ある,①,自動1・補動,ある,（无生命物体）存在；有；发生；处于某种状态
 2-N3::2-中低频,アルバム,⓪,名,album,相册，纪念册
 1-N4+N5,あれ,⓪,代,あれ,（表示离双方都有距离的）那个；（指之前发生过的，你和对方都熟悉的事情）那时
 1-N4+N5,いい,①,イ形・補形,いい,好的；可以；合适，足够
 1-N4+N5,いいえ,③,感,いいえ,（表示否定）不是，不对
 4-N1::2-中频,イギリス,⓪,名,(ポ) inglez,英国
 1-N4+N5,いくつ,①,名,いくつ,几个；几岁
 1-N4+N5,いくら,①⓪,名・副,いくら,（数量或价钱）多少；即使……也……
 1-N4+N5,いつ,①,代,いつ,什么时候
 1-N4+N5,いっぱい,⓪①,ナ形・副・名,いっぱい,⓪（いっぱい）充满，很多；①一杯，一碗
 1-N4+N5,いつも,①,名・副,いつも,经常，总是；平时
 1-N4+N5,いや,①⓪,感,いや,不，不是
 1-N4+N5,いる,⓪,自動2,いる,（有生命的物体的）存在，有
 1-N4+N5,いろいろ,⓪,ナ形・副・名,いろいろ,各种各样，形形色色
 1-N4+N5,インターネット,⑤,名,internet,互联网
 1-N4+N5,ううん,,感,ううん,不，不是
 3-N2::2-中低频,うどん,⓪,名,うどん,乌冬面
 1-N4+N5,うるさい,③,イ形,うるさい,吵的，令人烦躁的；爱唠叨的
 1-N4+N5,うん,①,感,うん,是，是的
 1-N4+N5,エアコン,⓪,名,air conditioner,空调
 1-N4+N5,ええ,①,感,ええ,（表示肯定、同意）嗯，诶；（表示疑问）啊？；（表示迟疑）嗯
 1-N4+N5,おいしい,⓪③,イ形,おいしい,美味的，好吃的
 4-N1::3-低频,オーストラリア,⑤,名,Australia,澳大利亚
 1-N4+N5,おじ,⓪,名,おじ,（伯父）父母的哥哥；（叔父）父母的弟弟
 1-N4+N5,おじいさん,②,名,おじいさん,祖父；外公；对年长男性的昵称
 1-N4+N5,おじさん,⓪,名,おじさん,叔叔，伯伯；对其他成年男性的昵称
 2-N3::2-中低频,おっしゃる,③,他動1,おっしゃる,说，讲
 1-N4+N5,おととい,⓪③,名,おととい,前天
 1-N4+N5,おととし,②,名,おととし,前年
 1-N4+N5,おなか,⓪,名,おなか,肚子，肠胃
 1-N4+N5,おにぎり,②,名,おにぎり,饭团
 1-N4+N5,おば,⓪,名,おば,（伯母）父母的姐姐；（叔母）父母的妹妹
 1-N4+N5,おばあさん,②,名,おばあさん,祖母；外婆；对年长女性的昵称
 1-N4+N5,菓子,①,名,かし,点心，糕点
 1-N4+N5,お兄さん,②,名,おにいさん,哥哥；对年轻男子的称呼
 1-N4+N5,お姉さん,②,名,おねえさん,姐姐；对年轻女子的称呼
 1-N4+N5,お茶,⓪,名,おちゃ,茶；工作间隙中的短暂休息
 1-N4+N5,お父さん,②,名,おとうさん,爸爸；父亲
 1-N4+N5,お母さん,②,名,おかあさん,妈妈，母亲
 1-N4+N5,カップ,①,名,cup,（带把手的）杯子；奖杯
 1-N4+N5,かばん,⓪,名,かばん,（皮革或布等制作的）书包，提包
 1-N4+N5,カメラ,①,名,camera,照相机
 1-N4+N5,カラオケ,⓪,名,からおけ,卡拉OK，KTV
 1-N4+N5,カレー,⓪,名,curry,咖喱
 1-N4+N5,かわいい,③,イ形,かわいい,可爱的
 1-N4+N5,ギター,①,名,guitar,吉他
 1-N4+N5,昨日,②⓪,名,きのう,昨天
 1-N4+N5,きれい,①,ナ形,きれい,好看，美丽；干净，整洁
 2-N3::1-高频,キロ,①,名,(フ) kilo,千
 1-N4+N5,くださる,③,他動1・補動,くださる,给予，赐予
 1-N4+N5,クラス,①,名,class,班级；等级
 3-N2::2-中低频,クリスマス,③,名,Christmas・Xmas,圣诞节
 1-N4+N5,ケーキ,①,名,cake,蛋糕
 1-N4+N5,コート,①,名,coat,外套，大衣
 1-N4+N5,コーヒー,③,名,coffee,咖啡
 2-N3::2-中低频,コーラ,①,名,cola,可乐
 1-N4+N5,ここ,⓪,代,ここ,（指代自己附近的事物）这里；（自己所指的地方）这里
 1-N4+N5,こちら,⓪,代,こちら,（指示说话者所在的方向或地点）这里；（说话者或说话者旁边的人）这个，这位
 1-N4+N5,こっち,③,代,こっち,这边；这个；我，我们
 1-N4+N5,コップ,⓪,名,(オ) kop,（由玻璃、塑料等制成的圆柱形的）杯子
 1-N4+N5,この,⓪,連体,この,（指代靠近说话者的事物）这个
